"ID","Title","Project","State","Month","CreatedDate","BugOrigin","IsProduction"
"1463883","RBAC/Documents - Receiving incorrect responses for users without access","AI ML COE","Done","Apr-26","02-Apr-2026","","0"
"1464607","RBAC/Attachmets - Receiving incorrect responses for both the users with and without access","AI ML COE","Done","Apr-26","03-Apr-2026","","0"
"1469851","RBAC/Doc and Attachments - User is getting proper response for contract level documents even he is not given access to the Doc/Attachment","AI ML COE","Done","Apr-26","16-Apr-2026","","0"
"1474813","Metadata Loss OF Documents During Attachment Ingestion","AI ML COE","New","Apr-26","30-Apr-2026","Product Management","0"
"1478522","Data - Unable to retrieve data from some particular grids or Form Fields","AI ML COE","Dev in progress","May-26","12-May-2026","","0"
"1499535","Doc Search - [Intermittent] Error Connecting to Chat service","AI ML COE","New","Jun-26","26-Jun-2026","Product Engineering","0"
"1499537","Lumina Doc - [Intermittent] Permission Issues for Administrator user.","AI ML COE","Done","Jun-26","26-Jun-2026","Product Engineering","0"
"1499538","Lumina Doc - [Intermittent] Response is getting completed at preliminary findings.","AI ML COE","Cannot Reproduce","Jun-26","26-Jun-2026","Product Engineering","0"
"1523910","Lumina - Wrong title displaying in Lumina doc viewer","AI ML COE","New","Jul-26","27-Jul-2026","","0"
"1525168","Lumina - Wrong way of showing ""High confidence"" when response is not accurately providing the expected response for the queries. with or without meta data","AI ML COE","Done","Jul-26","30-Jul-2026","","0"
"1531540","Agent Builder - 5th Compilation step is getting succeeded even without mandatory fields.","AI ML COE","Dev Completed","Aug-26","12-Aug-2026","","0"
"1533079","Agent Builder - Published agent category is missing and tool implementation tag is not displayed.","AI ML COE","New","Aug-26","18-Aug-2026","","0"
"1533081","Agent Builder - No change in on demand runs Toggle when the configuration is not done","AI ML COE","Done","Aug-26","18-Aug-2026","","0"
"1533141","Agent Builder - Total number of runs and last run time stamp is missing and List view preference is not getting persisted","AI ML COE","New","Aug-26","18-Aug-2026","","0"
"1533144","Agent Builder - Data alignment is not proper in Review and Publish tab","AI ML COE","Done","Aug-26","18-Aug-2026","","0"
"1536722","Agent Builder - Navigation issue from Masterworks 'Home' page","AI ML COE","New","Aug-26","25-Aug-2026","","0"
"1537598","Agent Builder - Clicking ""Back to Agent Builder"" link discards unsaved wizard data without a confirmation prompt","AI ML COE","Done","Aug-26","27-Aug-2026","","0"
"1469918","Extra non-CSDL attributes exposed in JSON metadata response","API_Integrations","Done","Apr-26","16-Apr-2026","","0"
"1470783","Metadata JSON response for PurchaseOrder form missing some fields which are present on XML","API_Integrations","Done","Apr-26","21-Apr-2026","","0"
"1471020","Incorrect maxLength returned as 0 for string field instead of deriving value from DB type","API_Integrations","Done","Apr-26","21-Apr-2026","","0"
"1471360","Button control is included in metadata JSON response as a field","API_Integrations","Done","Apr-26","22-Apr-2026","","0"
"1473598","Issues identified in RFI form odata response","API_Integrations","Done","Apr-26","28-Apr-2026","","0"
"1474810","Bid Estimate and Contract records are not getting auto created upon creating New Planned Project and also unable to create new contract","API_Integrations","Done","Apr-26","30-Apr-2026","Product Engineering","0"
"1474831","Workflow Actions is not coming in any of the child Form of the Project","API_Integrations","Done","Apr-26","30-Apr-2026","Product Engineering","0"
"1474908","Bid Estimate: MaxLength and @Core.LongDescription is missing in the few controls","API_Integrations","Done","Apr-26","30-Apr-2026","Product Engineering","0"
"1475177","Project Phases: 1.Allowing user to save Phase End Date greater than Project End Date for the first time 2.Unable to Save the Phases even after deleting a phase with Phase End Date greater than Project End Date","API_Integrations","Done","May-26","04-May-2026","Product Engineering","0"
"1475211","Schedule: 'Phase End Date' for each phase is showing same date [Project Start Date] for all the phases in 'Finish' column","API_Integrations","Done","May-26","04-May-2026","Product Engineering","0"
"1475243","Project Phases: 'Status' column data is not reordering properly on reordering the Phase","API_Integrations","Done","May-26","04-May-2026","Product Engineering","0"
"1475414","Contracts>>Contractors: Getting error message, on selecting Prime Contractor and Clicking on Save","API_Integrations","Done","May-26","04-May-2026","Product Engineering","0"
"1475730","Invalid error message 'Object reference not set to an instance of an object.' is displayed, when PDF is uploaded for Excel Import","API_Integrations","New","May-26","05-May-2026","Product Engineering","0"
"1475932","Project Calendar: Unable to Edit calendar, getting error message on Save for '5Days+1Exception Workday' calendar","API_Integrations","Done","May-26","05-May-2026","Product Engineering","0"
"1476212","Dropdown option values are not present in metadata response","API_Integrations","Done","May-26","06-May-2026","","0"
"1476216","Issues identified in expense form","API_Integrations","Done","May-26","06-May-2026","","0"
"1476405","Unable to add Item in Master Contract > Price List","API_Integrations","Done","May-26","06-May-2026","Product Engineering","0"
"1476412","If Validations=""Required"",AllowNull=""true"" on xml then ""$Nullable""coming as true on oData response for Purchase Order form","API_Integrations","Done","May-26","06-May-2026","","0"
"1476569","The API is failing for OData filter query using the mod operator","API_Integrations","Done","May-26","06-May-2026","","0"
"1476571","API returns 500 Internal Server Error for invalid non-numeric ID instead of proper validation error (400/404)","API_Integrations","Done","May-26","06-May-2026","","0"
"1476821","Bid Estimate Information: Engineer's Estimate Report: Grand Total value in the report is not matching with 'Total Amount($)' in 'Bid Items'","API_Integrations","New","May-26","07-May-2026","Product Engineering","0"
"1477336","$Collection property is missing in Entity Container entity set definitions","API_Integrations","Done","May-26","08-May-2026","","0"
"1477453","Validation pattern is missing for LIBCONT.ID field in OData metadata response","API_Integrations","Done","May-26","08-May-2026","","0"
"1478000","Bid Estimates: User is able to create and Issue Addendum even after Bid Opening Date has passed","API_Integrations","New","May-26","11-May-2026","Product Engineering","0"
"1478070","Schedule: On Importing excel with Duration as '0' for all the Tasks, '1' is getting updated in Duration for all the tasks after Import","API_Integrations","New","May-26","11-May-2026","Product Engineering","0"
"1478200","Unable to perform Workflow Actions in any of the form across application","API_Integrations","Done","May-26","11-May-2026","Product Engineering","0"
"1478605","EXPSFRM metadata response has missing navigation bindings, missing Employee navigation property, and AutoIncrement field not marked as computed","API_Integrations","Done","May-26","12-May-2026","","0"
"1479216","UrlRef is missing for DefaultFiscalYearID and ProgramYear fields in project metadata response","API_Integrations","Done","May-26","13-May-2026","","0"
"1479955","Bid Awarded Contractor is not getting selected as 'Prime Contractor' in Contractors on importing awarded bid in Contract Details","API_Integrations","New","May-26","14-May-2026","Product Engineering","0"
"1480014","Materials On Hand: 'Not Found' error displayed even though items exists, on clicking 'Add' button in 'Contract Items' grid","API_Integrations","New","May-26","14-May-2026","Product Engineering","0"
"1480033","RFINFRM Contract lookup $UrlRef returns empty values instead of contract dropdown data","API_Integrations","Done","May-26","14-May-2026","","0"
"1480764","For CONTMGT form,  for odata/Lookups/CONTMGT/CalendarID getting empty array","API_Integrations","New","May-26","18-May-2026","","0"
"1480934","Issues in lookup url - LIBCONT","API_Integrations","Done","May-26","19-May-2026","","0"
"1481259","Issue Log: Unable to Submit the record in New stage","API_Integrations","New","May-26","20-May-2026","Product Engineering","0"
"1481396","Schedule: Getting Server Error on adding 'Resource Title(s)' in any task","API_Integrations","New","May-26","20-May-2026","Product Engineering","0"
"1481437","Expand query fails for EXPSFRM POItems navigation property","API_Integrations","Done","May-26","20-May-2026","","0"
"1482404","Documents folder structure selected in Project Details is not displayed under Documents in left navigation","API_Integrations","Done","May-26","22-May-2026","Product Engineering","0"
"1488865","user is able to create record with the values that do not match the configured validation pattern","API_Integrations","Done","Jun-26","04-Jun-2026","","0"
"1489468","POST: Purchase Order: Issues observed during PBI demo","API_Integrations","Done","Jun-26","05-Jun-2026","Product Engineering","0"
"1490023","Getting 500,501,404 status code for LookUp APIs for some forms","API_Integrations","Done","Jun-26","08-Jun-2026","Product Engineering","0"
"1491730","GET: Project: ""ModuleName"" is showing blank in ""ProjectModules""","API_Integrations","New","Jun-26","11-Jun-2026","Product Engineering","0"
"1492244","POST: GFL: Validation missing when trying to update Total and remaining amount in GFL","API_Integrations","New","Jun-26","12-Jun-2026","","0"
"1494322","POST: Purchase Order: PID is auto updating to 0, when not included in the body while updating the created PO","API_Integrations","Dev in progress","Jun-26","16-Jun-2026","Product Engineering","0"
"1494325","PATCH: Project Fund List Issues","API_Integrations","Dev Completed","Jun-26","16-Jun-2026","Product Engineering","0"
"1494413","POST: Purchase Order: Able to update all the fields when WF state of record is in Commit state","API_Integrations","Done","Jun-26","16-Jun-2026","Product Engineering","0"
"1497305","Incorrect Form Key present in response of POST/GET Api","API_Integrations","New","Jun-26","22-Jun-2026","Product Engineering","0"
"1497453","Incorrect Error Message for incorrect DATE Format","API_Integrations","Blocked","Jun-26","22-Jun-2026","Product Engineering","0"
"1497805","API returns 200 OK for invalid large pageNumber/pageSize values instead of validation error","API_Integrations","Approved","Jun-26","23-Jun-2026","","0"
"1498219","ProjectId Computed Field Passed in POST Request Body Returns 201 Instead of Expected 400 for PROJECT Entity","API_Integrations","Done","Jun-26","24-Jun-2026","Product Engineering","0"
"1498228","POST Request with Duplicate AUR_RecordId Returns 400 UNKNOWN_ERROR with Misleading ""ProjectCode is read-only"" Message Instead of 409 Conflict for PROJECT Entity","API_Integrations","New","Jun-26","24-Jun-2026","Product Engineering","0"
"1498735","Getting incorrect error message on passing invalid AUR_RecordId","API_Integrations","Approved","Jun-26","25-Jun-2026","","0"
