"Project","SprintName","IterationPath","Month","CreatedDate","StartDate","EndDate"
"AI ML COE","2026-SP01","AI ML COE\2026-SP01","Jul-25","01-Jul-2025","01-Jul-2025","30-Jan-2026"
"AI ML COE","2026-SP02","AI ML COE\2026-SP02","Feb-26","23-Feb-2026","23-Feb-2026","13-Mar-2026"
"AI ML COE","2026-SP03","AI ML COE\2026-SP03","Mar-26","30-Mar-2026","30-Mar-2026","17-Apr-2026"
"API_Integrations","Sprint 1","API_Integrations\Sprint 1","Jan-26","05-Jan-2026","05-Jan-2026","16-Jan-2026"
"API_Integrations","Sprint 2","API_Integrations\Sprint 2","Jan-26","26-Jan-2026","26-Jan-2026","06-Feb-2026"
"API_Integrations","Sprint 3","API_Integrations\Sprint 3","Feb-26","09-Feb-2026","09-Feb-2026","20-Feb-2026"
"API_Integrations","Sprint 4","API_Integrations\Sprint 4","Feb-26","23-Feb-2026","23-Feb-2026","06-Mar-2026"
"Aurigo Essentials 2.0","2026-SP01","Aurigo Essentials 2.0\2026-SP01","Jan-26","12-Jan-2026","12-Jan-2026","06-Feb-2026"
"Aurigo Essentials 2.0","2026-SP02","Aurigo Essentials 2.0\2026-SP02","Feb-26","09-Feb-2026","09-Feb-2026","06-Mar-2026"
"Aurigo Essentials 2.0","2026-SP03","Aurigo Essentials 2.0\2026-SP03","Mar-26","09-Mar-2026","09-Mar-2026","03-Apr-2026"
"Aurigo Essentials 2.0","2026-SP04","Aurigo Essentials 2.0\2026-SP04","Apr-26","06-Apr-2026","06-Apr-2026","01-May-2026"
"MW Platform 2.0","2025-AP-Sprint 3","MW Platform 2.0\2025-AP-Sprint 3","Dec-25","22-Dec-2025","22-Dec-2025","02-Jan-2026"
"MW Platform 2.0","2026-AP-Sprint 4","MW Platform 2.0\2026-AP-Sprint 4","Jan-26","05-Jan-2026","05-Jan-2026","16-Jan-2026"
"MW Platform 2.0","2026-AP-Sprint 5","MW Platform 2.0\2026-AP-Sprint 5","Jan-26","19-Jan-2026","19-Jan-2026","30-Jan-2026"
"MW Platform 2.0","2026-AP-Sprint 6","MW Platform 2.0\2026-AP-Sprint 6","Feb-26","02-Feb-2026","02-Feb-2026","13-Feb-2026"
"MW Platform 2.0","2026-AP-Sprint 7","MW Platform 2.0\2026-AP-Sprint 7","Feb-26","16-Feb-2026","16-Feb-2026","27-Feb-2026"
"MW Platform 2.0","2026-AP-Sprint 8","MW Platform 2.0\2026-AP-Sprint 8","Mar-26","02-Mar-2026","02-Mar-2026","13-Mar-2026"
"MW Platform 2.0","2026-AP-Sprint 9","MW Platform 2.0\2026-AP-Sprint 9","Mar-26","16-Mar-2026","16-Mar-2026","27-Mar-2026"
"MW Platform 2.0","2026-AP-Sprint 10","MW Platform 2.0\2026-AP-Sprint 10","Mar-26","30-Mar-2026","30-Mar-2026","10-Apr-2026"
"MWPRO_Configplus","Sprint 1","MWPRO_Configplus\Sprint 1","Dec-25","22-Dec-2025","22-Dec-2025","02-Jan-2026"
"MWPRO_Configplus","Sprint 2","MWPRO_Configplus\Sprint 2","Jan-26","05-Jan-2026","05-Jan-2026","16-Jan-2026"
"MWPRO_Configplus","Sprint 3","MWPRO_Configplus\Sprint 3","Jan-26","19-Jan-2026","19-Jan-2026","30-Jan-2026"
"MWPRO_Configplus","Sprint 4","MWPRO_Configplus\Sprint 4","Feb-26","02-Feb-2026","02-Feb-2026","13-Feb-2026"
"MWPRO_Configplus","Sprint 5","MWPRO_Configplus\Sprint 5","Feb-26","16-Feb-2026","16-Feb-2026","27-Feb-2026"
"MWPRO_Configplus","Sprint 6","MWPRO_Configplus\Sprint 6","Mar-26","02-Mar-2026","02-Mar-2026","13-Mar-2026"
"Mobile-NexGen-Aurigo-Build","2025-SP2","Mobile-NexGen-Aurigo-Build\2025-SP2","Dec-25","22-Dec-2025","22-Dec-2025","02-Jan-2026"
"Mobile-NexGen-Aurigo-Build","2026-SP3","Mobile-NexGen-Aurigo-Build\2026-SP3","Jan-26","05-Jan-2026","05-Jan-2026","16-Jan-2026"
"Mobile-NexGen-Aurigo-Build","Sprint 3 - Jan 16","Mobile-NexGen-Aurigo-Build\Sprint 3 - Jan 16","Jan-26","05-Jan-2026","05-Jan-2026","16-Jan-2026"
"Mobile-NexGen-Aurigo-Build","2026-SP4","Mobile-NexGen-Aurigo-Build\2026-SP4","Jan-26","19-Jan-2026","19-Jan-2026","30-Jan-2026"
